"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"ENOX2" 702 640 926 680 665 442 763 170 816
"GHITM" 10815 9348 13402 10091 9919 7291 9699 11513 11444
"CLEC1B" 7 33 5 19 25 21 7 23 5
"SNAPC4" 453 430 543 415 502 370 493 1061 477
"TMEM52B" 4307 2507 3415 3226 3154 2435 2765 6782 3089
"PMPCA" 2987 2623 4067 2684 2752 1840 3091 4020 3354
"ENTR1" 735 1025 1194 786 947 690 851 1257 1099
"FRMD7" 6 11 14 14 13 6 24 10 35
"AK8" 37 58 57 32 68 31 59 45 59
"SPACA9" 577 609 735 735 679 230 914 203 745
"TSC1" 3008 2171 3406 3181 2929 2029 3400 2871 3542
"GFI1B" 36 35 36 28 28 19 27 38 29
"HPRT1" 445 823 554 410 753 463 589 580 567
"BORCS5" 380 356 376 249 308 144 269 189 303
"DIPK1B" 383 1151 277 504 1001 171 910 1025 773
"ZMYND19" 671 911 1263 660 757 587 847 2223 926
"STOX1" 32 57 129 45 40 105 77 62 156
"RET" 9 8 84 33 24 366 5 16 6
"DDX21" 10523 11571 15127 8685 11634 11417 9316 25014 11355
"BMS1" 2735 2458 4001 2460 2787 2370 2862 2661 3544
"STK32C" 66 105 195 63 104 118 105 84 149
"JCAD" 4281 4282 3685 3974 4240 2290 4721 2308 3328
"OR4K2" 0 0 2 0 0 2 0 0 0
"FUNDC2" 2327 3258 3169 2645 2981 1288 2153 2986 2701
"PIP4P1" 2037 1948 2604 1793 2013 1438 2009 2428 1834
"METTL17" 1274 1293 1913 1367 1369 905 1677 960 1945
"SLC39A2" 0 1 1 0 1 3 1 2 0
"NDRG2" 2144 2227 1846 1848 1803 1478 1834 15518 1417
"RNASE7" 776 943 543 684 568 578 629 7696 436
"ARHGEF40" 986 569 922 1095 637 778 753 873 549
"NSMF" 396 346 604 371 429 656 392 420 357
"ZNF219" 813 1241 1988 999 1116 637 1110 1039 1079
"C12orf50" 5 2 80 0 0 38 1 1 0
"CASP7" 1437 1299 1556 2115 2030 2240 1505 950 1189
"PPP1R36" 37 44 35 35 43 29 40 24 32
"BTNL9" 2 12 3 2 11 3 4 15 1
"CCDC186" 4591 4579 4649 4000 5050 2600 3490 3786 4081
"VWA2" 37 28 19 48 92 17 80 48 25
"METTL3" 2264 1809 2926 2200 2172 1587 2339 1780 2842
"SALL2" 19 46 108 20 58 11 21 18 53
"PRAP1" 8 5 2 13 4 1 10 2 3
"TRUB1" 647 647 725 748 696 410 670 462 794
"ERICH6B" 1579 1187 1744 1592 1340 1135 1660 987 1555
"CYP2C19" 8 4 2 7 3 2 2 3 4
"ZFYVE1" 1126 1081 1585 1191 1260 1073 1134 1534 1064
"C10orf82" 4 3 1 6 1 4 6 3 8
"HSPA12A" 109 94 168 83 101 85 98 59 125
"FRAT1" 53 50 98 43 36 87 44 73 47
"UBTD1" 275 474 450 276 349 204 415 126 226
"ANKRD2" 0 3 21 3 4 3 8 2 6
"E2F7" 259 223 220 244 173 124 295 1247 256
"ARHGAP42" 1113 1174 733 1239 1310 874 1033 526 1102
"ISCA2" 833 1043 976 936 1086 527 1115 652 891
"OTOGL" 15 24 10 12 23 7 19 23 27
"LARGE2" 3029 5692 10662 3856 6386 3017 4728 13355 4981
"PACSIN3" 735 2175 3517 784 2006 1341 893 1383 2125
"TTC7B" 4052 3247 4760 4049 3978 1818 3378 1548 4520
"SLC39A13" 1074 1422 1403 1012 1270 851 1274 1167 827
"PSMC3" 6459 7858 7906 6239 7860 4363 6266 10562 6796
"RAPSN" 35 59 16 28 48 5 29 81 26
"AGBL2" 9 25 16 38 30 19 30 11 12
"TC2N" 832 526 649 710 472 421 850 292 608
"CPSF2" 3272 3015 4832 2989 2985 2658 3216 2392 4361
"SMCO2" 38 21 24 43 27 45 34 5 42
"MOAP1" 1457 1499 1937 1212 1443 1032 1500 3775 1566
"IFI27L1" 178 276 371 293 275 221 310 266 273
"IFI27" 461 1706 1897 6161 3210 10398 660 1368 350
"SERPINA12" 1 0 1 0 0 0 0 0 0
"CLMN" 1072 380 452 675 326 468 845 88 448
"PDZRN4" 68 112 29 62 91 15 55 62 36
"SLC6A5" 2 0 0 2 0 2 2 0 2
"CCDC38" 5 10 13 23 17 12 29 20 29
"NELL1" 13 67 19 22 11 208 24 9 7
"PTER" 2061 1748 1834 2153 2220 1305 1783 858 1814
"C1QL3" 426 187 375 417 254 221 338 80 362
"CACNB2" 34 58 112 40 51 43 55 43 100
"HACD1" 33 46 36 27 21 88 23 94 15
"ARL5B" 6673 8353 7166 8899 11103 5172 5934 8669 6563
"SMCO4" 130 242 230 135 208 155 143 131 192
"CEP295" 1305 1253 1528 1473 1491 1014 1525 1463 1735
"KCNC2" 1 9 2 1 1 4 0 4 1
"TAF1D" 12105 12338 14281 13694 12832 8997 12221 13095 15065
"ABTB2" 2304 1765 2283 2270 2612 3499 1415 1415 697
"R3HCC1L" 1687 1100 1928 1917 1498 1477 1691 1948 1993
"AMOTL1" 15742 12082 19263 16226 17310 17875 12232 24423 15808
"HTRA1" 2443 2003 4452 4323 2345 12980 4380 2599 1247
"LIPC" 22 24 24 7 12 44 14 33 24
"CEP57" 2638 2774 2494 2960 3049 1285 3041 1717 2897
"TCP11L2" 1159 839 589 1163 909 452 1120 569 777
"PASD1" 3 4 0 2 0 3 1 0 3
"SPRED1" 584 711 882 664 799 887 661 380 615
"TMCO5A" 0 2 0 0 1 0 0 1 0
"GPR176" 164 110 660 180 83 425 131 86 39
"JAM3" 2823 5771 3132 3229 5020 1059 3963 2862 3656
"IL25" 0 0 0 0 0 0 0 0 0
"CMTM5" 16 35 4 17 35 1 17 35 18
"GLB1L3" 155 209 295 204 210 249 184 162 489
"ADAMTS15" 174 246 214 187 249 410 253 301 191
"SVOP" 7 6 50 8 1 13 1 2 26
"SPATA19" 0 0 0 0 1 0 0 0 0
"GPT2" 2725 1986 2311 2714 1988 1369 1873 526 1724
"AMN" 1161 931 1532 1084 1046 802 1109 541 1011
"RAB8B" 6993 4949 6329 7881 5462 7439 6113 6904 4146
"IKBIP" 908 1432 1377 921 1064 512 1284 1046 1112
"RPUSD2" 303 308 581 339 391 315 377 553 473
"HIF1AN" 5445 4462 7646 5684 5105 3349 6242 4083 6592
"NDUFB8" 2818 3715 3473 2871 3671 1593 3238 3627 3537
"ZFYVE19" 2670 1556 3185 3165 2009 1591 2748 907 2924
"PPP1R14D" 10 18 30 16 5 4 17 39 34
"SPINT1" 78974 74716 73096 83094 89820 40314 63577 61230 52664
"FBN1" 94097 86107 119771 102571 115583 79876 103889 88444 108895
"AVPR1A" 5 4 261 21 3 89 3 9 12
"C16orf78" 0 3 0 1 7 0 0 6 1
"DEPDC4" 2658 3121 2800 3112 3014 1301 2415 2768 2729
"LRTM2" 0 0 1 1 0 1 0 0 1
"OPN1MW2" 0 0 0 0 0 0 0 0 0
"BRD7" 5430 5691 6713 6409 7453 5440 6234 4271 5582
"CKB" 510 418 1277 614 556 716 290 939 204
"TRMT61A" 538 471 924 499 484 676 557 1742 621
"BTRC" 2505 1999 3020 2556 2295 1405 2747 673 2534
"POLL" 1053 904 1390 1302 1001 670 1340 742 1062
"BAG5" 2746 1839 3027 2189 1934 2036 2462 3616 2071
"DPCD" 1519 1475 1930 1818 1568 814 1958 1167 1582
"LARP6" 770 903 1324 608 1068 500 801 672 325
"API5" 4721 4405 6324 4685 4502 3433 5151 8099 5817
"ASPG" 37 54 8 27 24 4 12 51 13
"ZNF319" 303 214 473 263 239 326 320 154 248
"HPS6" 839 583 1220 744 707 703 913 904 849
"SENP8" 189 140 220 179 145 132 206 223 210
"NOLC1" 7274 7747 10245 6308 7578 7596 7192 23273 9111
"ALKBH3" 307 231 111 467 201 308 57 271 51
"COPS2" 5284 5627 7335 5369 5300 3879 5708 8499 5692
"GABRB3" 65 64 34 52 64 16 87 59 31
"SPIC" 0 1 0 0 2 1 1 1 0
"TBATA" 2 1 5 2 3 1 2 0 0
"SGPL1" 1263 929 2126 969 884 1351 1241 806 1333
"FRS2" 2062 1609 2613 2132 1891 1813 2232 2500 2384
"CCT2" 6873 8937 10510 6802 8235 5622 8259 19236 10189
"PCBD1" 1025 996 1152 1073 1086 564 1306 834 921
"ARIH1" 7431 7672 7605 6843 8060 4864 5890 10332 6812
"C16orf71" 24 18 32 10 14 11 23 20 31
"CLMP" 1137 1588 3436 1277 1937 2437 1036 781 630
"SCN3B" 41 23 59 27 17 32 55 41 39
"COX11" 995 1243 1814 1084 1259 774 1369 1059 1805
"ZNF202" 434 345 531 374 375 404 473 729 647
"FAM227B" 725 585 771 725 638 342 692 296 603
"STXBP4" 85 114 196 141 125 131 118 52 182
"CYYR1" 263 1229 514 300 911 169 414 860 650
"CUL5" 1754 1929 2895 1900 2244 1744 2001 1692 3053
"MYRFL" 8 41 7 6 24 13 9 14 28
"WBP1L" 10140 5063 8641 7705 6098 4482 7894 3214 5517
"BORCS7" 1561 1348 1685 1413 1447 830 1681 1550 1628
"C2" 518 705 1016 878 1128 3035 485 602 380
"PLEKHF1" 1623 1401 2373 1742 1803 1386 1397 1618 1474
"TMEM100" 106 409 40 133 363 14 185 463 224
"ANAPC16" 4349 3888 4426 4338 3969 2078 4748 2922 4451
"SMPD1" 2982 2233 2797 3084 2413 1734 2794 2538 1606
"APBB1" 145 293 450 174 244 156 242 230 134
"SYNPO2L" 82 13 21 47 24 66 50 16 7
"NUDT13" 165 154 232 153 213 98 231 153 352
"C11orf65" 1111 717 1456 1105 808 740 1371 331 1650
"TRIM44" 6809 4270 9528 7387 6947 6474 6761 2609 7947
"CCDC182" 0 0 0 0 0 0 0 0 0
"ILK" 6810 5030 6606 6192 4946 3562 5434 4218 5021
"TAF10" 7774 6500 8214 7262 6434 4419 6573 6205 5906
"TPP1" 8656 5417 7086 8328 6375 5098 7448 6472 5394
"DCHS1" 499 805 638 505 658 197 602 534 430
"NETO1" 2 1 1 0 0 0 1 0 0
"MSS51" 54 34 49 40 44 31 64 33 110
"CYB5A" 3764 7020 6183 4683 7136 2562 4244 3667 5507
"USP54" 367 411 1125 351 443 465 437 285 622
"RAG1" 31 16 38 46 18 33 33 21 36
"POTED" 0 0 0 0 0 0 0 0 0
"C11orf74" 289 403 344 328 388 110 394 295 365
"WDR88" 126 33 134 146 62 73 186 35 165
"OR10A5" 0 0 0 0 0 0 0 0 0
"OR2D2" 1 0 0 0 0 0 0 0 0
"ATP9B" 567 427 861 532 522 550 773 512 1000
"PPFIBP2" 2548 714 1599 3195 853 995 3122 368 1290
"MOGAT2" 0 0 1 0 1 0 0 0 0
"CYB5R2" 1010 453 687 713 407 467 764 340 1171
"SERPINB7" 458 751 365 151 244 489 171 403 327
"KIAA0355" 5742 4916 4889 6202 5609 3078 5912 3609 4736
"SERPINB8" 1358 672 1705 912 819 1714 886 2102 863
"TUB" 71 157 221 121 120 80 119 170 166
"RIC3" 22 21 56 30 23 46 32 9 35
"LMO1" 4 2 2 7 2 1 19 4 2
"IDH3A" 1722 2165 3281 1601 2448 2044 1387 2895 2851
"WDR72" 18 173 252 32 172 70 10 93 77
"CRABP1" 48 117 13 43 114 6 15 76 26
"PLD4" 9 17 96 17 17 43 7 16 10
"ZMAT1" 45 78 81 11 71 88 21 70 151
"XRRA1" 2244 2296 2832 2321 2844 2279 2036 2687 2474
"TRIM66" 367 166 543 328 258 403 616 165 1056
"RNF169" 2067 1895 2341 2173 2440 1960 1816 2541 1976
"RPL27A" 45622 54853 36139 46297 47550 15663 46672 55222 39931
"ST5" 577 555 958 494 600 1881 490 311 559
"CDYL2" 3056 2044 2434 2969 2912 2760 2554 3382 2192
"TMEM130" 5 15 2 5 8 4 3 8 5
"PRTG" 1277 1389 1950 1348 1933 1130 1373 1146 2106
"CENPN" 1306 1521 1395 1462 1341 915 1282 2601 1452
"AKIP1" 628 781 943 721 766 580 765 398 833
"ATMIN" 8781 7953 10199 8037 8715 5424 7417 11141 8881
"C16orf46" 1008 1297 1088 914 1471 471 1015 1746 1270
"TMEM41B" 2809 3153 3939 2788 2858 2453 2560 3115 4069
"PKD1L2" 423 264 780 740 369 374 652 245 1362
"LEO1" 802 652 1087 866 816 836 1040 1075 1019
"ZNF143" 1475 1534 1702 1320 1607 1107 1290 3834 1384
"TMX3" 1959 2043 2913 1853 2008 1865 2244 1822 2773
"MFAP4" 1129 2477 4967 991 2243 2907 884 2162 913
"WEE1" 11831 8419 10852 13077 10236 9125 11832 14006 10142
"MAPK7" 769 880 1308 718 834 794 694 879 618
"PRKCB" 251 231 192 210 227 219 102 61 137
"HDGFL3" 421 739 674 336 594 374 528 437 408
"NDST2" 1272 946 1502 1040 974 1029 998 1821 962
"MCM7" 5725 4530 7113 6472 4522 4200 6898 9424 6027
"CLEC3A" 5 8 8 2 6 5 7 10 4
"CCDC68" 952 1543 596 731 1415 343 871 1144 986
"CLEC4E" 203 35 16 220 36 55 53 16 31
"ZNF3" 1308 1200 1598 1326 1351 1004 1374 1650 1421
"CLEC4D" 23 3 9 13 9 7 11 2 13
"ZSCAN21" 504 524 774 539 562 344 583 777 749
"RIMKLB" 4548 3912 4711 4952 4425 4279 5532 5437 6813
"A2ML1" 154 93 226 99 119 152 132 110 206
"BEAN1" 989 470 882 714 552 406 960 276 604
"TK2" 824 431 884 800 505 395 1035 254 684
"TMED3" 8702 9155 9852 9045 8863 5277 9080 8478 8336
"SLC38A8" 2 0 0 0 1 0 2 3 1
"SEC11C" 1460 1913 1593 1423 1817 928 1347 1815 1249
"CPLX4" 0 1 1 1 0 4 1 0 1
"GALR1" 0 1 0 0 0 5 0 0 0
"TMEM135" 605 644 678 807 561 471 779 306 535
"IQCD" 83 95 139 40 69 67 95 314 119
"NDEL1" 9337 8450 12921 8636 9887 6966 9826 7603 10920
"CENPV" 250 542 437 296 499 223 408 683 535
"CDH16" 4 9 87 3 2 20 7 29 3
"RRAD" 772 1480 1385 834 1329 1208 1159 3223 486
"CIAO2B" 1604 2305 1918 1738 2312 1040 1571 2509 1401
"CFAP52" 54 34 53 48 32 27 75 24 58
"HSP90B1" 135233 145842 95090 149448 182250 57913 133976 160902 77582
"MC4R" 0 0 0 0 0 0 0 0 0
"BLCAP" 8251 14007 12290 9542 14193 6357 10518 11360 11997
"SERPINB12" 0 1 2 1 0 1 2 4 0
"CHRFAM7A" 0 1 1 0 1 4 2 0 1
"ATF7IP2" 906 1070 919 1170 1249 574 973 1536 1782
"MMP10" 736 87 4933 213 82 2819 289 118 25
"TVP23A" 539 539 645 579 472 377 572 662 589
"BEX3" 8719 14701 13105 10368 15723 6745 11326 13894 10828
"TMPRSS5" 12 8 10 3 9 7 11 5 18
"COG1" 2516 2131 3524 2851 2739 2184 2847 2139 2955
"PLEKHA7" 2078 1660 3254 2736 3083 2299 2176 1262 3149
"ZNF606" 391 311 466 360 364 262 326 263 482
"ZCCHC18" 3 7 4 3 2 3 1 4 0
"B2M" 120152 124595 112251 198959 177539 221623 98154 142459 71173
"ZNF592" 1197 993 1715 1157 1079 1303 1312 921 1220
"CASC4" 3198 3206 4860 3184 3718 2502 3365 1382 3713
"HTR3A" 0 1 0 1 0 0 0 0 0
"NNMT" 1620 1365 1977 1615 1063 1402 1464 1117 1697
"ACSM1" 49 40 110 81 41 37 60 43 71
"AP1G1" 5294 5294 6136 4629 5819 3857 4484 4599 5007
"SLFN5" 1455 990 1398 4573 1369 8422 1193 922 572
"CATSPER2" 143 97 140 86 105 80 123 60 282
"BMERB1" 2444 1813 2910 2712 2386 1883 2237 1462 1983
"MARF1" 3099 2189 2962 3378 2927 2190 2794 1826 2436
"SAAL1" 398 414 475 485 440 277 553 592 537
"YPEL4" 79 61 128 163 85 228 54 87 56
"PPIB" 26223 24274 22336 28463 25436 15514 25771 25697 19545
"LDHC" 2 2 3 4 11 8 3 2 5
"CIAO2A" 2805 2939 2927 3005 2922 1517 3133 2388 3171
"LDHAL6A" 49 61 39 31 41 38 67 53 81
"FAM111A" 1282 557 967 1045 859 771 1035 977 928
"PCLAF" 294 755 209 447 602 111 465 1139 363
"KIF7" 266 331 482 333 333 317 412 625 497
"LDHD" 40 46 69 60 33 47 68 26 73
"PLIN1" 29 44 69 37 47 70 19 8 90
"PEX11A" 475 452 743 552 510 369 484 192 1045
"TMEM170A" 2954 2691 3838 2982 2904 1993 2900 3799 3404
"MESP1" 6 9 10 3 10 4 7 13 8
"ANPEP" 3901 1676 3012 3151 1600 3641 2414 1058 2360
"SCNN1G" 58 45 95 10 48 69 22 5 8
"RBPMS2" 82 143 71 72 157 67 76 94 76
"NAV2" 15746 8386 12162 14738 10697 8895 14926 8561 11465
"ANKDD1A" 1067 4039 2220 1516 3911 1377 1459 4406 2755
"GLYATL1" 1 16 9 0 23 5 4 8 5
"C18orf54" 129 156 153 148 133 226 119 123 137
"DCTN5" 5568 3678 7408 5243 4108 3808 5799 4888 6064
"TERF2IP" 2596 3562 3794 2901 3646 2102 2470 3315 2399
"PLK1" 510 869 890 618 840 428 690 615 948
"CLPX" 5930 6279 6594 6655 7358 3825 6021 6417 6221
"GPR182" 3 5 5 1 1 3 1 4 2
"ZBTB39" 480 574 916 472 706 534 548 1067 699
"CACNG2" 7 9 4 7 3 8 4 2 2
"TAC3" 91 326 4853 424 1674 44359 114 2734 156
"MYO1A" 8 6 6 2 4 10 3 5 8
"CHP2" 397 140 462 714 260 123 630 136 346
"NEMP1" 1594 1083 1542 1638 1187 856 1876 1185 1541
"OR4D6" 0 0 0 0 0 0 0 0 0
"NAB2" 657 831 1223 716 634 503 998 824 462
"VPS39" 4246 2874 5956 5000 3674 3517 4585 2966 5005
"STAT6" 5962 1298 1470 6191 1708 2649 5780 1305 1106
"PATL1" 5657 3749 5662 8180 5821 7008 4827 2604 3624
"ATP23" 188 197 191 235 185 96 287 149 238
"ELFN2" 19 8 16 4 16 8 20 1 0
"STX3" 4984 4756 5124 4320 4093 4036 4374 12772 4865
"MRPL16" 1079 1288 1670 1176 1363 637 1455 963 1634
"PIP4K2C" 2201 1395 2474 2150 1840 2345 1835 2558 1921
"MTMR10" 5523 4464 7960 4993 6225 4811 4340 3772 7615
"YWHAB" 17492 15630 20819 15199 16504 11033 15265 17113 15510
"C15orf48" 27744 11499 3813 15485 10915 4161 12648 13969 3887
"SCG5" 25 43 58 24 33 30 21 24 54
"GREM1" 49 33 578 30 21 585 25 51 54
"NYAP1" 15 29 681 21 28 92 15 24 29
"TSC22D4" 1591 1591 2278 2104 2036 1752 1494 1310 1327
"MS4A6E" 1925 667 971 1590 832 2141 1023 313 782
"MS4A7" 1870 645 942 1524 822 2093 980 277 755
"MS4A14" 2179 740 1185 1750 871 2452 1105 325 1006
"MS4A5" 0 2 0 3 0 0 0 2 2
"DIS3L" 760 767 1453 972 783 639 1393 503 1478
"CCNDBP1" 20477 12750 20191 20365 14885 8294 14050 10933 17343
"EPB42" 23042 14678 23601 24907 18557 12406 16463 12587 20626
"TGM6" 0 0 1 0 1 0 1 1 1
"SMAD3" 2644 1662 2197 2434 2133 3753 1861 878 872
"MS4A8" 1 3 1 3 0 0 2 2 2
"CCDC178" 9 19 23 2 3 12 4 10 10
"MS4A15" 14 109 114 13 98 78 10 67 82
"MAP1A" 30 90 528 30 62 214 41 89 41
"RCCD1" 330 314 535 349 385 315 450 380 501
"AKTIP" 1902 1100 3118 1596 1157 1122 2136 684 2463
"MAPRE2" 505 984 461 468 890 660 482 526 297
"EVA1C" 203 293 1371 203 261 285 196 74 125
"TCP10L2" 0 5 4 2 1 5 2 0 1
"MARS" 13377 12311 15049 13239 12879 11561 9820 12681 11025
"MBD6" 1431 1465 2310 1699 1613 1278 1524 1220 1552
"CNPY4" 616 751 1065 670 603 350 1022 708 1059
"PDIA3" 45884 44999 37969 48536 52444 29932 44936 44490 31282
"NUDT21" 4411 4914 5939 4538 4829 2726 5089 5308 5799
"NAT16" 0 6 2 0 1 1 0 0 2
"TERB2" 0 1 1 3 1 0 0 1 0
"NKX3-1" 253 164 245 320 259 523 169 599 110
"SGSM1" 38 66 62 42 60 25 48 64 24
"DUSP18" 70 108 158 79 138 196 72 65 133
"TEF" 1342 1757 2002 1862 2540 1052 1582 1133 1582
"MEI1" 77 44 71 39 37 52 36 32 32
"B4GALNT2" 61 19 39 74 14 17 65 8 10
"PBX3" 174 341 506 176 282 249 228 201 194
"GNGT2" 21 37 25 17 46 36 10 47 18
"PHB" 4171 6333 6041 4768 6064 2679 5115 5528 5607
"SNRPD1" 2312 2778 3442 2397 2714 1915 2824 4088 3118
"TTC16" 23 36 36 22 31 19 36 46 19
"SUN5" 0 4 0 0 1 0 0 0 0
"SAMD14" 281 308 406 270 324 168 378 247 270
"PIP5KL1" 19 16 43 27 27 57 25 10 46
"BPIFB6" 0 0 0 0 0 0 0 0 0
"TMEM92" 3 3 2 1 2 10 6 1 4
"FAM102A" 2662 2177 2595 2125 2308 2151 1563 2336 1687
"ACSF2" 3590 3498 4313 4269 3955 1509 4478 2368 4790
"GOLGA2" 6858 5602 7451 6420 6304 4233 5975 4514 5188
"TRUB2" 726 797 1238 781 870 526 883 923 1295
"COQ4" 814 1138 1453 918 1233 798 1143 850 1373
"SLC27A4" 448 556 970 429 513 526 486 368 634
"URM1" 1586 1586 2472 1820 1831 1335 1825 1447 2050
"CERCAM" 699 1051 2212 1216 1305 7668 946 1612 1058
"DOLPP1" 475 767 1050 462 748 445 576 962 933
"CCDC103" 40 43 77 36 63 42 48 69 70
"ENDOG" 736 1016 1394 941 1015 836 1218 1299 1071
"TBC1D21" 0 1 1 1 0 1 1 1 1
"PRRX2" 108 141 67 111 165 33 131 69 51
"UGT1A6" 2 6 7 3 1 11 0 4 2
"C15orf39" 1994 1562 2450 2022 1947 2508 2087 1766 1566
"ISLR2" 7 4 117 1 9 36 0 7 2
"SP2" 551 556 762 551 630 571 565 760 627
"PRR15L" 8 12 8 2 8 3 9 0 7
"COQ7" 486 395 627 470 451 279 532 528 607
"GPRC5B" 780 997 3633 643 1037 2821 1073 489 537
"CRK" 6963 6050 7864 5795 6571 4624 6213 11415 5864
"C16orf92" 0 3 0 0 1 0 0 0 1
"GOLGA6C" 1 0 0 0 0 0 0 0 0
"FBXO22" 1664 1980 2269 1735 1749 1259 1833 2594 2441
"TBC1D2B" 5385 3475 6619 4738 4701 3161 4492 1595 4709
"NOD2" 688 236 470 857 576 556 434 162 270
"SNX20" 66 37 86 147 92 272 69 27 48
"LOXHD1" 9 59 10 2 37 7 7 67 20
"KATNAL2" 28 12 21 12 9 17 15 12 52
"HDHD2" 737 893 1082 890 1140 643 844 733 1064
"ZNF91" 2734 1642 2721 2714 2484 2197 2475 2378 3887
"IGF2" 201622 184347 167000 221461 186450 137221 212402 117752 162123
"RNF214" 904 808 1190 898 911 637 1048 659 1075
"CDK12" 4016 3071 5318 3774 3892 3985 3442 5349 4713
"DPEP2" 355 254 267 316 337 170 304 276 380
"DUS2" 2474 1468 2671 2243 1876 1456 2289 1531 2439
"POP5" 311 308 463 300 281 149 338 362 360
"ENGASE" 696 642 1448 663 742 635 786 1288 1214
"RBFOX3" 21 25 27 18 18 23 16 20 29
"ATP5MG" 7485 9906 8345 7322 8221 3197 7903 9302 8282
"CD3D" 6 3 29 1 3 32 2 3 2
"TBC1D16" 536 437 1020 553 405 504 602 248 368
"TEPSIN" 465 420 725 439 471 494 501 573 681
"MYO5B" 3195 1765 2124 2448 2067 1227 3383 876 1506
"ART5" 66 47 22 60 42 13 35 67 27
"ACAA2" 1811 1587 1402 1968 1441 892 2383 2227 1127
"STIM1" 8002 4909 7466 8762 7323 4392 7126 2167 5786
"RRM1" 2759 3225 4104 2946 3026 2125 3852 4850 3642
"OR51E2" 31 49 4 17 23 1 32 27 33
"TRIM68" 542 499 901 624 703 488 731 375 763
"MMP26" 24 41 24 21 20 32 21 22 10
"OR51I1" 0 0 0 0 0 0 0 0 0
"OR51Q1" 0 0 0 0 0 0 0 0 0
"FN3K" 228 383 718 340 381 248 376 225 618
"PRRT2" 86 73 36 76 77 38 87 52 70
"ZNF23" 330 341 533 316 324 261 410 335 427
"IRGQ" 1278 934 1411 723 1056 587 852 1753 980
"ZNF226" 547 530 717 595 493 401 556 412 648
"ZNF180" 211 169 443 218 212 252 303 220 432
"PPP2R3B" 0 0 0 0 0 0 0 0 0
"ZNF668" 242 319 502 260 297 333 304 427 326
"ZNF646" 743 510 1020 819 751 890 693 649 699
"VKORC1" 1404 1262 2435 1516 1148 1178 1618 1020 1113
"GNG8" 2 1 0 1 0 0 1 1 0
"LPO" 54 45 73 44 67 20 67 11 57
"CA4" 4 58 5 3 58 1 4 73 8
"SMG8" 1113 861 1518 1093 913 1000 1268 1808 1271
"TPM4" 37369 38042 43076 34242 39476 32181 32228 37828 33084
"RAB8A" 2529 1856 3387 3037 2540 2719 2875 2621 2424
"GPX4" 8859 10892 11090 9481 9567 6059 8463 8288 8094
"MIDN" 4595 3340 4436 3557 3980 3869 2724 8601 2580
"JSRP1" 4251 4303 4014 4474 4131 1897 3824 4252 3333
"NIBAN3" 13 4 6 13 4 10 6 4 3
"KLHL26" 167 197 314 256 309 289 206 229 216
"GATAD2A" 4221 3948 5970 4335 3757 3518 4269 5705 4128
"MVD" 2377 1669 1708 1782 1594 705 1830 1257 1357
"CDT1" 639 627 817 1269 637 607 915 1445 648
"TRAPPC2L" 826 1190 956 981 1090 470 1120 1222 1014
"ANKRD11" 4833 3434 7101 4466 3928 4548 4641 2948 5630
"SPATA33" 42 56 54 50 54 26 73 102 58
"RSKR" 436 154 177 286 259 150 259 124 377
"PROCA1" 41 24 42 35 33 27 40 11 42
"RPL13" 34450 44043 38172 37402 40490 17890 40131 45649 33047
"ZNF641" 388 347 440 298 401 424 331 363 395
"LALBA" 1 0 0 0 0 0 0 0 0
"CACNB3" 214 251 410 274 244 306 281 205 172
"DHRS13" 1008 1309 1833 963 1183 659 1301 840 1281
"TP53I13" 792 1011 1594 989 909 946 1109 1486 843
"KMT2D" 3441 2646 5418 3098 3582 3835 3316 2759 4437
"CORO6" 613 362 863 1749 983 2020 404 884 474
"RHEBL1" 19 13 25 12 23 32 5 16 9
"TUBA1A" 1559 4105 2275 1270 3539 1766 1209 4943 1511
"TUBA1C" 11778 13267 18827 9738 12056 11779 9544 28044 14047
"ZNF610" 166 72 255 206 92 161 243 108 214
"ZNF528" 272 176 412 261 317 250 364 266 502
"ZNF701" 3055 1643 2664 2924 2284 2068 2817 13716 3336
"SERTAD3" 2340 2457 2651 2456 2979 1652 2211 3409 2244
"NCKAP5L" 651 1205 2332 797 1334 1502 1057 519 1309
"RAB4B" 1421 1488 1675 1395 1600 970 1256 1299 1309
"AQP2" 0 0 0 0 2 0 0 0 0
"GPD1" 2 6 2 4 0 3 1 10 2
"PROSER3" 431 276 630 383 339 281 429 253 476
"CYP2S1" 686 436 380 721 560 193 629 580 299
"AXL" 635 908 2162 928 1458 2883 636 927 528
"NFKBID" 212 209 107 209 222 90 98 177 130
"TMC4" 2055 755 1423 2268 985 1528 2696 917 1267
"ANKRD33" 90 7 31 59 9 36 47 10 33
"LAIR1" 485 412 481 455 434 787 337 250 277
"TTYH1" 11 7 14 8 15 23 5 3 14
"LENG8" 3970 2506 5407 3881 3626 3294 4499 2356 5393
"CDC42EP5" 291 371 344 417 452 379 369 315 171
"LAIR2" 77 12 145 355 9 326 162 10 12
"TMEM145" 8 0 3 3 1 0 4 1 2
"ZNF526" 371 362 606 434 430 354 429 315 378
"TRAPPC9" 1638 1568 2332 1548 1751 1116 1549 868 1843
"KIR3DL1" 1 1 7 0 0 8 0 3 2
"NLRP7" 56 18 52 39 16 262 34 19 19
"ZNF146" 5530 5067 7214 5459 5296 4063 5738 7938 6180
"ZNF283" 240 189 377 224 235 270 297 214 518
