"","x"
"207",7.52
"208",7.441
"209",7.519
"210",7.537
"211",7.536
"212",7.531
"213",7.483
"214",7.514
"215",7.551
"216",7.566
"217",7.495
"218",7.537
"219",7.528
"220",7.475
"221",7.481
"222",7.568
"223",7.581
"224",7.478
"225",7.505
"226",7.505
"227",7.519
"228",7.578
"229",7.515
"230",7.492
"231",7.476
"232",7.49
"233",7.492
"234",7.475
"235",7.478
"236",7.501
"237",7.578
"238",7.494
"239",7.52
"240",7.497
"241",7.49
"242",7.516
"243",7.525
"244",7.563
"245",7.542
"246",7.561
"247",7.512
"248",7.507
"249",7.57
"250",7.526
"251",7.531
"252",7.567
"253",7.513
"254",7.563
"255",7.502
"256",7.579
"257",7.548
"258",7.498
"259",7.517
"260",7.555
"261",7.542
"262",7.537
"263",7.567
"264",7.523
"265",7.487
"266",7.524
"267",7.515
"268",7.505
"269",7.531
"270",7.513
"271",7.493
"272",7.494
"273",7.4
"274",7.529
"275",7.544
"276",7.472
"277",7.52
"278",7.567
"279",7.557
"280",7.525
"281",7.573
"282",7.53
"283",7.533
"284",7.52
"285",7.507
"286",7.592
"287",7.537
"288",7.504
"289",7.513
"290",7.502
"291",7.541
"292",7.526
"293",7.524
"294",7.481
"295",7.542
"296",7.536
"297",7.505
"298",7.575
"299",7.598
"300",7.565
"301",7.394
"302",7.537
"303",7.498
"304",7.484
"305",7.502
"306",7.495
"307",7.559
"308",7.554
"309",7.479
"310",7.589
"311",7.484
"312",7.484
"313",7.569
"314",7.537
"315",7.47
"316",7.521
"317",7.534
"318",7.546
"319",7.574
"320",7.53
"321",7.504
"322",7.567
"323",7.541
"324",7.504
"325",7.514
"326",7.504
"327",7.517
"328",7.525
"329",7.566
"330",7.555
"331",7.457
"332",7.491
"333",7.463
"334",7.489
"335",7.474
"336",7.56
"337",7.557
"338",7.525
"339",7.568
"340",7.513
"341",7.524
"342",7.532
"343",7.479
"344",7.531
"345",7.554
"346",7.568
"347",7.561
"348",7.555
"349",7.553
"350",7.484
"351",7.494
"352",7.508
"353",7.458
"354",7.488
"355",7.447
"356",7.499
"357",7.455
"358",7.485
"359",7.545
"360",7.576
"361",7.493
"362",7.498
"363",7.475
"364",7.497
"365",7.49
"366",7.608
"367",7.481
"368",7.525
"369",7.556
"370",7.528
"371",7.532
"372",7.5
"373",7.585
"374",7.494
"375",7.5
"376",7.536
"377",7.475
"378",7.56
"379",7.529
"380",7.521
"381",7.521
"382",7.477
"383",7.524
"384",7.576
"385",7.543
"386",7.483
"387",7.472
"388",7.562
"389",7.459
"390",7.527
"391",7.504
"392",7.49
"393",7.531
"394",7.551
"395",7.538
"396",7.525
"397",7.496
"398",7.495
"399",7.541
"400",7.508
"401",7.579
"402",7.457
"403",7.529
"404",7.564
"405",7.575
"406",7.502
"407",7.517
"408",7.523
"409",7.504
"410",7.566
"411",7.514
"412",7.515
"413",7.538
"414",7.478
"415",7.582
"416",7.519
"417",7.519
"418",7.612
"419",7.511
"420",7.527
"421",7.482
"422",7.526
"423",7.537
"424",7.508
"425",7.545
"426",7.58
"427",7.59
"428",7.471
"429",7.518
"430",7.486
"431",7.491
"432",7.522
"433",7.484
"434",7.5
"435",7.505
"436",7.525
"437",7.539
"438",7.527
"439",7.507
"440",7.488
"441",7.549
"442",7.496
"443",7.47
"444",7.511
"445",7.524
"446",7.5
"447",7.569
"448",7.526
"449",7.495
"450",7.548
"451",7.57
"452",7.559
"453",7.521
"454",7.485
"455",7.541
"456",7.514
"457",7.579
"458",7.526
"459",7.583
"460",7.524
"461",7.528
"462",7.456
"463",7.508
"464",7.488
"465",7.54
"466",7.512
"467",7.467
"468",7.544
"469",7.517
"470",7.52
"471",7.556
"472",7.564
"473",7.513
"474",7.517
"475",7.556
"476",7.515
"477",7.536
"478",7.535
"479",7.524
"480",7.533
"481",7.581
"482",7.607
"483",7.512
"484",7.489
"485",7.527
"486",7.544
"487",7.438
"488",7.511
"489",7.481
"490",7.525
"491",7.509
"492",7.568
"493",7.536
"494",7.583
"495",7.558
"496",7.554
"497",7.535
"498",7.531
"499",7.55
"500",7.514
"501",7.527
"502",7.529
"503",7.466
"504",7.474
"505",7.476
"506",7.475
"507",7.494
"508",7.519
"509",7.512
"510",7.47
"511",7.5
"512",7.504
"513",7.493
"514",7.531
"515",7.522
"516",7.201
"517",7.544
"518",7.524
"519",7.495
"520",7.494
"521",7.502
"522",7.479
"523",7.519
"524",7.499
"525",7.541
"526",7.557
"527",7.487
"528",7.461
"529",7.475
"530",7.559
"531",7.543
"532",7.497
"533",7.478
"534",7.484
"535",7.488
"536",7.498
"537",7.466
"538",7.495
"539",7.496
"540",7.482
"541",7.568
"542",7.482
"543",7.512
"544",7.474
"545",7.5
"546",7.53
"547",7.499
"548",7.514
"549",7.532
"550",7.534
"551",7.463
"552",7.5
"553",7.482
"554",7.509
"555",7.546
"556",7.557
"557",7.481
"558",7.458
"559",7.483
"560",7.473
"561",7.541
"562",7.555
"563",7.492
"564",7.481
"565",7.523
"566",7.522
"567",7.534
"568",7.485
"569",7.473
"570",7.472
"571",7.511
"572",7.49
"573",7.499
"574",7.446
"575",7.498
"576",7.498
"577",7.476
"578",7.58
"579",7.474
"580",7.529
"581",7.516
"582",7.525
"583",7.511
"584",7.445
"585",7.526
"586",7.523
"587",7.51
"588",7.518
"589",7.511
"590",7.513
"591",7.516
"592",7.483
"593",7.496
"594",7.499
"595",7.49
"596",7.505
"597",7.497
"598",7.494
"599",7.514
"600",7.497
"601",7.535
"602",7.475
"603",7.532
"604",7.54
"605",7.52
"606",7.481
"607",7.501
"608",7.542
"609",7.529
"610",7.523
"611",7.587
"612",7.51
"613",7.572
"614",7.543
"615",7.549
"616",7.52
"617",7.465
"618",7.531
"619",7.536
"620",7.542
"621",7.41
"622",7.547
"623",7.504
"624",7.514
"625",7.481
"626",7.601
"627",7.527
"628",7.552
"629",7.5
"630",7.531
"631",7.573
"632",7.445
"633",7.489
"634",7.509
"635",7.517
"636",7.515
"637",7.57
"638",7.473
"639",7.567
"640",7.578
"641",7.536
"642",7.487
"643",7.543
"644",7.464
"645",7.55
"646",7.505
"647",7.498
"648",7.52
"649",7.494
"650",7.522
"651",7.507
"652",7.502
"653",7.498
"654",7.505
"655",7.544
"656",7.521
"657",7.484
"658",7.48
"659",7.511
"660",7.52
"661",7.507
"662",7.478
"663",7.491
"664",7.547
"665",7.545
"666",7.479
"667",7.509
"668",7.505
"669",7.539
"670",7.545
"671",7.511
"672",7.469
"673",7.516
"674",7.52
"675",7.493
"676",7.485
"677",7.538
"678",7.479
"679",7.515
"680",7.461
"681",7.501
"682",7.544
"683",7.523
"684",7.583
"685",7.526
"686",7.473
"687",7.485
"688",7.508
"689",7.524
"690",7.514
"691",7.518
"692",7.522
"693",7.464
"694",7.526
"695",7.526
"696",7.499
"697",7.505
"698",7.523
"699",7.511
"700",7.536
"701",7.56
"702",7.541
"703",7.533
"704",7.503
"705",7.499
"706",7.484
"707",7.488
"708",7.468
"709",7.521
"710",7.536
"711",7.507
"712",7.5
"713",7.503
"714",7.5
"715",7.508
"716",7.491
"717",7.495
"718",7.499
"719",7.537
"720",7.542
"721",7.543
"722",7.474
"723",7.516
"724",7.507
"725",7.41
"726",7.496
"727",7.619
"728",7.564
"729",7.562
"730",7.483
"731",7.47
"732",7.542
"733",7.493
"734",7.531
"735",7.498
"736",7.493
"737",7.51
"738",7.556
"739",7.481
"740",7.507
"741",7.572
"742",7.569
"743",7.556
"744",7.51
"745",7.465
"746",7.55
"747",7.501
"748",7.504
"749",7.522
"750",7.576
"751",7.501
"752",7.568
"753",7.565
"754",7.558
"755",7.559
"756",7.564
"757",7.496
"758",7.51
"759",7.548
"760",7.488
"761",7.541
"762",7.556
"763",7.466
"764",7.584
"765",7.515
"766",7.531
"767",7.57
"768",7.564
"769",7.481
"770",7.589
"771",7.545
"772",7.563
"773",7.535
"774",7.504
"775",7.529
"776",7.538
"777",7.54
"778",7.528
"779",7.546
"780",7.538
"781",7.514
"782",7.487
"783",7.512
"784",7.478
"785",7.52
"786",7.557
"787",7.517
"788",7.508
"789",7.569
"790",7.51
"791",7.479
"792",7.543
"793",7.544
"794",7.539
"795",7.526
"796",7.579
"797",7.525
"798",7.52
"799",7.551
"800",7.511
"801",7.553
"802",7.507
"803",7.544
"804",7.54
"805",7.555
"806",7.494
"807",7.495
"808",7.53
"809",7.503
"810",7.444
"811",7.533
"812",7.511
"813",7.558
"814",7.548
"815",7.524
"816",7.57
"817",7.525
"818",7.608
"819",7.586
"820",7.557
"821",7.502
"822",7.566
"823",7.545
"824",7.528
"825",7.518
"826",7.492
"827",7.545
"828",7.487
"829",7.513
"830",7.497
"831",7.548
"832",7.499
"833",7.537
"834",7.52
"835",7.498
"836",7.542
"837",7.596
"838",7.522
"839",7.537
"840",7.554
"841",7.567
"842",7.492
"843",7.547
"844",7.573
"845",7.501
"846",7.521
"847",7.544
"848",7.524
"849",7.56
"850",7.504
"851",7.505
"852",7.531
"853",7.512
"854",7.486
"855",7.522
"856",7.502
"857",7.529
"858",7.574
"859",7.525
"860",7.561
"861",7.515
"862",7.485
"863",7.581
"864",7.512
"865",7.521
"866",7.547
"867",7.485
"868",7.513
"869",7.496
"870",7.586
"871",7.547
"872",7.507
"873",7.54
"874",7.536
"875",7.49
"876",7.518
"877",7.548
"878",7.539
"879",7.544
"880",7.575
"881",7.487
"882",7.521
"883",7.495
"884",7.501
"885",7.492
"886",7.467
"887",7.536
"888",7.576
"889",7.5
"890",7.548
"891",7.512
"892",7.535
"893",7.504
"894",7.492
"895",7.547
"896",7.569
"897",7.537
"898",7.547
"899",7.565
"900",7.546
"901",7.503
"902",7.497
"903",7.556
"904",7.573
"905",7.541
"906",7.536
"907",7.526
"908",7.568
"909",7.612
"910",7.553
"911",7.545
"912",7.526
"913",7.505
"914",7.551
"915",7.482
"916",7.53
"917",7.579
"918",7.523
"919",7.518
"920",7.546
"921",7.544
"922",7.528
"923",7.531
"924",7.575
"925",7.515
"926",7.512
"927",7.567
"928",7.586
"929",7.511
"930",7.577
"931",7.507
"932",7.552
"933",7.559
"934",7.535
"935",7.547
"936",7.572
"937",7.491
"938",7.561
"939",7.511
"940",7.547
"941",7.502
"942",7.492
"943",7.506
"944",7.494
"945",7.532
"946",7.525
"947",7.512
"948",7.544
"949",7.544
"950",7.572
"951",7.511
"952",7.526
"953",7.527
"954",7.546
"955",7.534
"956",7.571
"957",7.549
"958",7.563
"959",7.519
"960",7.587
"961",7.554
"962",7.516
"963",7.533
"964",7.544
"965",7.536
"966",7.542
"967",7.511
"968",7.533
"969",7.567
"970",7.538
"971",7.492
"972",7.564
"973",7.572
"974",7.482
"975",7.524
"976",7.52
"977",7.535
"978",7.47
"979",7.492
"980",7.473
"981",7.517
"982",7.477
"983",7.505
"984",7.548
"985",7.517
"986",7.482
"987",7.515
"988",7.539
"989",7.54
"990",7.548
"991",7.52
"992",7.507
"993",7.562
"994",7.516
"995",7.551
"996",7.534
"997",7.568
"998",7.557
"999",7.525
"1000",7.514
"1001",7.568
"1002",7.546
"1003",7.553
"1004",7.526
"1005",7.558
"1006",7.538
"1007",7.566
"1008",7.656
"1009",7.573
"1010",7.48
"1011",7.549
"1012",7.55
"1013",7.529
"1014",7.571
"1015",7.586
"1016",7.516
"1017",7.573
"1018",7.523
"1019",7.571
"1020",7.565
"1021",7.553
"1022",7.501
"1023",7.554
"1024",7.537
"1025",7.589
"1026",7.515
"1027",7.543
"1028",7.511
"1029",7.494
"1030",7.534
"1031",7.521
"1032",7.507
"1033",7.481
"1034",7.515
"1035",7.515
"1036",7.547
"1037",7.526
"1038",7.506
"1039",7.502
"1040",7.512
"1041",7.55
"1042",7.501
"1043",7.595
"1044",7.535
"1045",7.492
"1046",7.487
"1047",7.595
"1048",7.5
"1049",7.559
"1050",7.453
"1051",7.482
"1052",7.503
"1053",7.515
"1054",7.497
"1055",7.502
"1056",7.484
"1057",7.505
"1058",7.493
"1059",7.559
"1060",7.467
"1061",7.536
"1062",7.491
"1063",7.487
"1064",7.522
"1065",7.548
"1066",7.524
"1067",7.513
"1068",7.542
"1069",7.52
"1070",7.524
"1071",7.524
"1072",7.516
"1073",7.479
"1074",7.543
"1075",7.555
"1076",7.576
"1077",7.58
"1078",7.565
"1079",7.583
"1080",7.55
"1081",7.521
"1082",7.538
"1083",7.534
"1084",7.559
"1085",7.527
"1086",7.543
"1087",7.53
"1088",7.571
"1089",7.55
"1090",7.565
"1091",7.526
"1092",7.546
"1093",7.564
"1094",7.521
"1095",7.514
"1096",7.522
"1097",7.541
"1098",7.517
"1099",7.55
"1100",7.552
"1101",7.502
"1102",7.469
"1103",7.517
"1104",7.524
"1105",7.516
"1106",7.479
"1107",7.487
"1108",7.527
"1109",7.536
"1110",7.542
"1111",7.59
"1112",7.537
"1113",7.494
"1114",7.519
"1115",7.532
"1116",7.504
"1117",7.529
"1118",7.551
"1119",7.569
"1120",7.511
"1121",7.529
"1122",7.507
"1123",7.554
"1124",7.532
"1125",7.557
"1126",7.508
"1127",7.515
"1128",7.564
"1129",7.532
"1130",7.524
"1131",7.584
"1132",7.519
"1133",7.487
"1134",7.552
"1135",7.534
"1136",7.502
"1137",7.511
"1138",7.525
"1139",7.567
"1140",7.531
"1141",7.489
"1142",7.563
"1143",7.533
"1144",7.475
"1145",7.574
"1146",7.534
"1147",7.548
"1148",7.531
"1149",7.576
"1150",7.531
"1151",7.551
"1152",7.541
"1153",7.553
"1154",7.509
"1155",7.528
"1156",7.531
"1157",7.566
"1158",7.555
"1159",7.553
"1160",7.501
"1161",7.543
"1162",7.515
"1163",7.555
"1164",7.508
"1165",7.546
"1166",7.574
"1167",7.514
"1168",7.584
"1169",7.562
"1170",7.556
"1171",7.557
"1172",7.566
"1173",7.506
"1174",7.53
"1175",7.532
"1176",7.545
"1177",7.53
"1178",7.561
"1179",7.566
"1180",7.543
"1181",7.58
"1182",7.55
"1183",7.57
"1184",7.516
"1185",7.512
"1186",7.532
"1187",7.584
"1188",7.502
"1189",7.569
"1190",7.512
"1191",7.49
"1192",7.532
"1193",7.551
"1194",7.545
"1195",7.546
"1196",7.535
"1197",7.529
"1198",7.582
"1199",7.58
"1200",7.551
"1201",7.499
"1202",7.494
"1203",7.53
"1204",7.525
"1205",7.513
"1206",7.554
"1207",7.525
"1208",7.541
"1209",7.546
"1210",7.516
"1211",7.48
"1212",7.528
"1213",7.507
"1214",7.554
"1215",7.507
"1216",7.539
"1217",7.525
"1218",7.509
"1219",7.483
"1220",7.551
"1221",7.552
"1222",7.492
"1223",7.546
"1224",7.533
"1225",7.506
"1226",7.484
"1227",7.553
"1228",7.507
"1229",7.535
"1230",7.527
"1231",7.515
"1232",7.521
"1233",7.451
"1234",7.532
"1235",7.494
"1236",7.5
"1237",7.513
"1238",7.514
"1239",7.513
"1240",7.517
"1241",7.496
"1242",7.474
"1243",7.534
"1244",7.503
"1245",7.564
"1246",7.561
"1247",7.514
"1248",7.529
"1249",7.548
"1250",7.52
"1251",7.558
"1252",7.518
"1253",7.526
"1254",7.515
"1255",7.485
"1256",7.524
"1257",7.575
"1258",7.521
"1259",7.488
"1260",7.532
"1261",7.459
"1262",7.493
"1263",7.498
"1264",7.475
"1265",7.483
"1266",7.517
"1267",7.473
"1268",7.528
"1269",7.538
"1270",7.47
"1271",7.532
"1272",7.481
"1273",7.471
"1274",7.53
"1275",7.471
"1276",7.511
"1277",7.482
"1278",7.547
"1279",7.479
"1280",7.532
"1281",7.507
"1282",7.536
"1283",7.542
"1284",7.483
"1285",7.504
"1286",7.487
"1287",7.518
"1288",7.514
"1289",7.508
"1290",7.465
"1291",7.511
"1292",7.561
"1293",7.526
"1294",7.481
"1295",7.495
"1296",7.539
"1297",7.504
"1298",7.52
"1299",7.593
"1300",7.473
"1301",7.511
"1302",7.504
"1303",7.551
"1304",7.529
"1305",7.533
"1306",7.559
"1307",7.513
"1308",7.515
"1309",7.554
"1310",7.528
"1311",7.558
"1312",7.535
"1313",7.526
"1314",7.504
"1315",7.539
"1316",7.508
"1317",7.504
"1318",7.531
"1319",7.574
"1320",7.504
"1321",7.521
"1322",7.517
"1323",7.554
"1324",7.508
"1325",7.463
"1326",7.524
"1327",7.578
"1328",7.478
"1329",7.545
"1330",7.527
"1331",7.566
"1332",7.511
"1333",7.561
"1334",7.563
"1335",7.554
"1336",7.518
"1337",7.532
"1338",7.523
"1339",7.57
"1340",7.562
"1341",7.512
"1342",7.492
"1343",7.499
"1344",7.499
"1345",7.471
"1346",7.523
"1347",7.551
"1348",7.511
"1349",7.515
"1350",7.589
"1351",7.474
"1352",7.51
"1353",7.588
"1354",7.485
"1355",7.523
"1356",7.52
"1357",7.465
"1358",7.489
"1359",7.5
"1360",7.511
"1361",7.474
"1362",7.505
"1363",7.504
"1364",7.518
"1365",7.486
"1366",7.475
"1367",7.521
"1368",7.586
"1369",7.538
"1370",7.46
"1371",7.519
"1372",7.491
"1373",7.481
"1374",7.538
"1375",7.513
"1376",7.505
"1377",7.51
"1378",7.48
"1379",7.534
"1380",7.49
"1381",7.497
"1382",7.536
"1383",7.461
"1384",7.548
"1385",7.556
"1386",7.499
"1387",7.532
"1388",7.471
"1389",7.482
"1390",7.518
"1391",7.493
"1392",7.549
"1393",7.589
"1394",7.512
"1395",7.578
"1396",7.497
"1397",7.517
"1398",7.48
"1399",7.491
"1400",7.516
"1401",7.484
"1402",7.571
"1403",7.48
"1404",7.506
"1405",7.476
"1406",7.578
"1407",7.549
"1408",7.486
"1409",7.444
"1410",7.498
"1411",7.526
"1412",7.556
"1413",7.514
"1414",7.505
"1415",7.484
"1416",7.499
"1417",7.521
"1418",7.553
"1419",7.493
"1420",7.5
"1421",7.555
"1422",7.626
"1423",7.556
"1424",7.582
"1425",7.532
"1426",7.482
"1427",7.558
"1428",7.535
"1429",7.484
"1430",7.538
"1431",7.491
"1432",7.484
"1433",7.508
"1434",7.522
"1435",7.517
"1436",7.493
"1437",7.469
"1438",7.527
"1439",7.492
"1440",7.498
"1441",7.525
"1442",7.489
"1443",7.534
"1444",7.476
"1445",7.515
"1446",7.49
"1447",7.528
"1448",7.466
"1449",7.486
"1450",7.497
"1451",7.493
"1452",7.531
"1453",7.473
"1454",7.491
"1455",7.57
"1456",7.524
"1457",7.503
"1458",7.475
"1459",7.472
"1460",7.483
"1461",7.554
"1462",7.523
"1463",7.476
"1464",7.547
"1465",7.423
"1466",7.492
"1467",7.508
"1468",7.474
"1469",7.508
"1470",7.48
"1471",7.526
"1472",7.495
"1473",7.48
"1474",7.467
"1475",7.475
"1476",7.575
"1477",7.489
"1478",7.524
"1479",7.524
"1480",7.501
"1481",7.508
"1482",7.518
"1483",7.535
"1484",7.55
"1485",7.551
"1486",7.489
"1487",7.578
"1488",7.553
"1489",7.575
"1490",7.56
"1491",7.519
"1492",7.533
"1493",7.51
"1494",7.541
"1495",7.446
"1496",7.528
"1497",7.486
"1498",7.573
"1499",7.611
"1500",7.501
"1501",7.539
"1502",7.556
"1503",7.505
"1504",7.485
"1505",7.556
"1506",7.518
"1507",7.511
"1508",7.497
"1509",7.579
"1510",7.507
"1511",7.521
"1512",7.462
"1513",7.452
"1514",7.498
"1515",7.56
"1516",7.548
"1517",7.518
"1518",7.525
"1519",7.515
"1520",7.502
"1521",7.481
"1522",7.552
"1523",7.537
"1524",7.531
"1525",7.522
"1526",7.506
"1527",7.457
"1528",7.485
"1529",7.575
"1530",7.51
"1531",7.469
"1532",7.579
"1533",7.547
"1534",7.54
"1535",7.51
"1536",7.555
"1537",7.548
"1538",7.557
"1539",7.52
"1540",7.519
"1541",7.513
"1542",7.497
"1543",7.555
"1544",7.547
"1545",7.55
"1546",7.504
"1547",7.484
"1548",7.456
"1549",7.56
"1550",7.555
"1551",7.57
"1552",7.495
"1553",7.561
"1554",7.511
"1555",7.524
"1556",7.529
"1557",7.571
"1558",7.526
"1559",7.535
"1560",7.534
"1561",7.502
"1562",7.525
"1563",7.565
"1564",7.516
"1565",7.5
"1566",7.478
"1567",7.562
"1568",7.573
"1569",7.58
"1570",7.466
"1571",7.577
"1572",7.544
"1573",7.512
"1574",7.428
"1575",7.547
"1576",7.591
"1577",7.538
"1578",7.552
"1579",7.532
"1580",7.551
"1581",7.521
"1582",7.533
"1583",7.509
"1584",7.478
"1585",7.57
"1586",7.535
"1587",7.485
"1588",7.44
"1589",7.508
"1590",7.496
"1591",7.525
"1592",7.501
"1593",7.47
"1594",7.494
"1595",7.515
"1596",7.491
"1597",7.521
"1598",7.583
"1599",7.494
"1600",7.555
"1601",7.562
"1602",7.459
"1603",7.513
"1604",7.508
"1605",7.531
"1606",7.505
"1607",7.484
"1608",7.569
"1609",7.516
"1610",7.488
"1611",7.526
"1612",7.537
"1613",7.547
"1614",7.525
"1615",7.516
"1616",7.53
"1617",7.483
"1618",7.535
"1619",7.532
"1620",7.503
"1621",7.57
"1622",7.513
"1623",7.54
"1624",7.499
"1625",7.565
"1626",7.58
"1627",7.525
"1628",7.543
"1629",7.528
"1630",7.523
"1631",7.565
"1632",7.536
"1633",7.543
"1634",7.569
"1635",7.488
"1636",7.546
"1637",7.571
"1638",7.511
"1639",7.515
"1640",7.548
"1641",7.489
"1642",7.538
"1643",7.502
"1644",7.527
"1645",7.598
"1646",7.583
"1647",7.534
"1648",7.543
"1649",7.53
"1650",7.51
"1651",7.539
"1652",7.493
"1653",7.556
"1654",7.551
"1655",7.548
"1656",7.561
"1657",7.51
"1658",7.521
"1659",7.533
"1660",7.565
"1661",7.481
"1662",7.536
"1663",7.446
"1664",7.488
"1665",7.502
"1666",7.542
"1667",7.544
"1668",7.52
"1669",7.514
"1670",7.527
"1671",7.579
"1672",7.528
"1673",7.49
"1674",7.511
"1675",7.551
"1676",7.51
"1677",7.5
"1678",7.508
"1679",7.552
"1680",7.518
"1681",7.575
"1682",7.504
"1683",7.543
"1684",7.519
"1685",7.506
"1686",7.516
"1687",7.55
"1688",7.509
"1689",7.485
"1690",7.503
"1691",7.49
"1692",7.502
"1693",7.466
"1694",7.507
"1695",7.514
"1696",7.503
"1697",7.485
"1698",7.508
"1699",7.501
"1700",7.535
"1701",7.587
"1702",7.506
"1703",7.476
"1704",7.532
"1705",7.482
"1706",7.492
"1707",7.509
"1708",7.573
"1709",7.538
"1710",7.549
"1711",7.475
"1712",7.49
"1713",7.557
"1714",7.484
"1715",7.548
"1716",7.583
"1717",7.503
"1718",7.515
"1719",7.572
"1720",7.502
"1721",7.553
"1722",7.526
"1723",7.569
"1724",7.504
"1725",7.492
"1726",7.525
"1727",7.528
"1728",7.485
"1729",7.529
"1730",7.485
"1731",7.417
"1732",7.561
"1733",7.551
"1734",7.571
"1735",7.493
"1736",7.549
"1737",7.518
"1738",7.521
"1739",7.498
"1740",7.569
"1741",7.448
"1742",7.482
"1743",7.494
"1744",7.538
"1745",7.504
"1746",7.511
"1747",7.534
"1748",7.572
"1749",7.48
"1750",7.534
"1751",7.52
"1752",7.586
"1753",7.491
"1754",7.529
"1755",7.5
"1756",7.536
"1757",7.58
"1758",7.525
"1759",7.504
"1760",7.472
"1761",7.492
"1762",7.518
"1763",7.55
"1764",7.545
"1765",7.562
"1766",7.512
"1767",7.532
"1768",7.527
"1769",7.484
"1770",7.52
"1771",7.512
"1772",7.522
"1773",7.584
"1774",7.524
"1775",7.752
"1776",7.494
"1777",7.49
"1778",7.533
"1779",7.518
"1780",7.513
"1781",7.502
"1782",7.479
"1783",7.511
"1784",7.474
"1785",7.498
"1786",7.531
"1787",7.476
"1788",7.488
"1789",7.489
"1790",7.514
"1791",7.5
"1792",7.502
"1793",7.516
"1794",7.503
"1795",7.515
"1796",7.467
"1797",7.485
"1798",7.518
"1799",7.477
"1800",7.502
"1801",7.551
"1802",7.549
"1803",7.558
"1804",7.579
"1805",7.523
"1806",7.611
"1807",7.571
"1808",7.552
"1809",7.525
"1810",7.514
"1811",7.515
"1812",7.616
"1813",7.478
"1814",7.538
"1815",7.534
"1816",7.538
"1817",7.558
"1818",7.551
"1819",7.525
"1820",7.537
"1821",7.513
"1822",7.533
"1823",7.487
"1824",7.51
"1825",7.555
"1826",7.515
"1827",7.505
"1828",7.459
"1829",7.493
"1830",7.488
"1831",7.462
"1832",7.509
"1833",7.54
"1834",7.511
"1835",7.469
"1836",7.579
"1837",7.514
"1838",7.523
"1839",7.507
"1840",7.581
"1841",7.501
"1842",7.476
"1843",7.503
"1844",7.54
"1845",7.48
"1846",7.452
"1847",7.468
"1848",7.5
"1849",7.504
"1850",7.494
"1851",7.495
"1852",7.589
"1853",7.538
"1854",7.503
"1855",7.496
"1856",7.477
"1857",7.468
"1858",7.501
"1859",7.523
"1860",7.497
"1861",7.48
"1862",7.515
"1863",7.496
"1864",7.481
"1865",7.538
"1866",7.523
"1867",7.515
"1868",7.523
"1869",7.528
"1870",7.494
"1871",7.489
"1872",7.496
"1873",7.503
